	Score	MoE	P-Value	Q-Value
HALLMARK_MYC_TARGETS_V2	0.7691714219797566	0.043097200832371174	0.007255098629220996	0.3929824561403509
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.48362667332308806	0.0813220747320236	0.10595118689401538	0.7491725768321512
HALLMARK_MYC_TARGETS_V1	0.40924311770368055	0.15419030287092592	0.15767301905717152	0.7972972972972973
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.1865041411146803	0.1535301888918372	0.4079572049481779	0.9977528089887641
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-0.2545062316783413	0.11516289959330155	0.3068538950183885	0.8416819012797074
HALLMARK_DNA_REPAIR	-0.3123352468700622	0.13921264309817497	0.23617519224339686	0.800901916572717
HALLMARK_E2F_TARGETS	-0.6566822168909762	0.11137975133870164	0.024607154797726512	0.4293785310734463
