	Score	MoE	P-Value	Q-Value
CRELD1	0.520150991167314	0.1212736555400314	0.1321039869170473	0.996640872317974
SLC16A1	0.342631770838913	0.2562312391342363	0.2940731968646027	0.9553785164290616
AMPD3	0.0886302838991274	0.2019655718680205	0.4880166920430835	0.8915954835542464
TRAPPC11	-0.2087029459771399	0.2748188753263852	0.400862798172898	0.8435545023696683
HP_EXERCISE_INDUCED_MUSCLE_FATIGUE	-0.323336882559697	0.2511642257149779	0.2732196589769308	0.9040883977900552
GATA6	-0.3443615001993845	0.2367223891280457	0.2609428748660689	0.8032716506291636
CACNA1S	-0.4514331870257074	0.3157933264153105	0.1434049512208876	0.7919651199003426
PGK1	-0.6917323609809458	0.0594962347247895	0.0280945130547566	0.6128992628992629
