	Score	MoE	P-Value	Q-Value
IPA_GABPB1_UP	0.45121182064868387	0.30165977561221163	0.16503257638054272	1.0
IPA_XBP1_DN	0.44732234890535244	0.19069997596143098	0.1678158011259409	1.0
IPA_GFI1_DN	0.43454902630084985	0.23590021074749756	0.17847744955405148	1.0
IPA_NFIA_UP	0.4342378379600807	0.22632398290481148	0.1787462837624138	1.0
IPA_HNRNPK_DN	0.4284149770692664	0.1061786851346231	0.18347776582959074	1.0
IPA_TFEB_UP	0.4278479892855106	0.0964438860938535	0.18395850464925043	1.0
IPA_PAX5_DN	0.42596972374521663	0.08952066743360758	0.18559681194256436	1.0
IPA_ETV5_DN	0.42200539320888547	0.3106020840051006	0.1889240306154722	1.0
IPA_ISL1_UP	0.4215427676710723	0.3373895987748412	0.1893668163704219	1.0
IPA_NCOR2_DN	0.42144631253162157	0.18750229892056477	0.18947118729837434	1.0
IPA_MAFG_UP	0.41607591894142865	0.34779685246881925	0.1942690872287937	1.0
IPA_FOXG1_DN	0.41573347222753776	0.31177466655541924	0.19452527041558607	1.0
IPA_ETS2_UP	0.4138434089477352	0.28767056074840686	0.1961351129103675	1.0
IPA_NFIA_DN	0.41315641910246925	0.38996755512149	0.1967518502119046	1.0
IPA_FGF3_UP	0.41170421854772776	0.177325077699196	0.1980201151242963	1.0
IPA_ZFPM1_DN	0.41115705489362364	0.11193194609241985	0.198443924346891	1.0
IPA_PAX3_DN	0.41101010091885887	0.34991382805599386	0.19857676007337594	1.0
IPA_SULT2A1_DN	0.4084005574430398	0.2897265714857619	0.20098994243785184	1.0
IPA_IFI16_DN	0.40822578031480805	0.1948278729601013	0.20114175469669177	1.0
IPA_ID3_DN	0.40685641753166907	0.11666829106304981	0.20241001960908345	1.0
IPA_POU4F1_UP	0.40376157595296175	0.33440311825914265	0.2053703586564615	1.0
IPA_BHLHE40_UP	0.4021595164122407	0.26971744115792645	0.20704345625909293	1.0
IPA_ASCL1_DN	0.4014273976848401	0.2667746402361705	0.20771396040230247	1.0
IPA_HIST1H1T_UP	0.40019113037999593	0.11325329052585585	0.20897589980390915	1.0
IPA_POU1F1_UP	0.3988607330849852	0.2604857201293193	0.2103169080903283	1.0
IPA_KMT2A_UP	0.3982242791207964	0.23101600771333305	0.2109368081472579	1.0
IPA_SMAD5_DN	0.39648984787480046	0.1117084587607737	0.21263520779302927	1.0
IPA_NRF1_DN	0.3959698392386542	0.2524443754344062	0.21318868998671642	1.0
IPA_H2AFY_DN	0.3931512919351179	0.2836070529652759	0.2160098677968246	1.0
IPA_PLAGL1_UP	0.39240411103340006	0.31470531292415566	0.21672781327092164	1.0
IPA_SOX9_UP	0.388915862074981	0.18508898001257815	0.22024796002277183	1.0
IPA_HNF1B_UP	0.3859841928829624	0.1979260755810355	0.22317350876083245	1.0
IPA_NFIX_DN	0.38503779034960967	0.1942172853610494	0.2242836359035992	1.0
IPA_BCL3_UP	0.38416845632177715	0.3403254994710366	0.22512809159339617	1.0
IPA_ETV4_UP	0.3827380966351439	0.1295375798066756	0.22673160857739263	1.0
IPA_MYF5_UP	0.38227115608975587	0.3423689615123426	0.22720602188626732	1.0
IPA_YY1_DN	0.3819422697437978	0.24057306197485714	0.2275286229363021	1.0
IPA_POU2F1_DN	0.38188414942271337	0.3144904159998816	0.22756657600101207	1.0
IPA_RBL2_DN	0.3817738809192154	0.2781228760689312	0.2276772724397495	1.0
IPA_FIGLA_DN	0.379179258135775	0.19262656817315574	0.23038142830033526	1.0
IPA_SMAD7_UP	0.37855283886126173	0.324232795467554	0.23095704978176987	1.0
IPA_ISL1_DN	0.37368371639132586	0.17117762134095446	0.2359921563666266	1.0
IPA_IRF7_DN	0.3725860052886357	0.36543274268602777	0.23705484217850592	1.0
IPA_PAX3_UP	0.36941456846776183	0.2902563865563777	0.24021127206021886	1.0
IPA_TAZ_UP	0.367874220045728	0.23407370630237656	0.24174204567018787	1.0
IPA_SKIL_DN	0.3653578679534187	0.3183997272944891	0.24428490100575623	1.0
IPA_ELF4_UP	0.3648733702817162	0.31068783345125456	0.2447435005376684	1.0
IPA_HOXA11_UP	0.3647957859853437	0.22676620552403623	0.24480359289012588	1.0
IPA_MAFF_UP	0.3633245266962794	0.35452120217349153	0.24635018027705738	1.0
IPA_SOX10_UP	0.36264640263105263	0.33034349006060876	0.24701119615408945	1.0
IPA_CBFB_UP	0.3621478397180239	0.321265539582676	0.24747295844139414	1.0
IPA_NR5A2_DN	0.3601039452693769	0.3578596599168577	0.24970270099310518	1.0
IPA_ATF4_DN	0.3586572113247243	0.2676447750640967	0.2512303118476817	1.0
IPA_EGR2_UP	0.3566709399621236	0.31709259578712595	0.2531785691694604	1.0
IPA_SNAI1_UP	0.3560854640655801	0.29677164323460076	0.2538079574925675	1.0
IPA_NR0B2_UP	0.3524682642366549	0.32392568634456975	0.2574103358846227	1.0
IPA_HNF4A_DN	0.35117273958788225	0.28158726216248997	0.2586596242646594	1.0
IPA_HOXC8_UP	0.3511055281091685	0.3029919366910087	0.2587228793725093	1.0
IPA_RNF2_UP	0.3507731567709645	0.31062152232191215	0.25908659624264657	1.0
IPA_SP7_DN	0.3498266684807485	0.3644935607257436	0.25993737744322853	1.0
IPA_HAND1_DN	0.3475830849529226	0.344898911351509	0.2620247960022772	1.0
IPA_KLF13_UP	0.34491109827802907	0.43743643458113796	0.26484597381238534	1.0
IPA_SOX9_DN	0.3377637236655357	0.2987138518981243	0.27163008412929346	1.0
IPA_HIC1_UP	0.33636071443612875	0.3192833537959326	0.27299323170346007	1.0
IPA_HOXA9_DN	0.3340837463351458	0.19934646324363572	0.275387437535581	1.0
IPA_SMARCD3_UP	0.3291894684313253	0.21030967839244616	0.28037510278955025	1.0
IPA_POU2AF1_UP	0.32350043670684214	0.11395032966466362	0.2860016446328041	1.0
IPA_CIITA_DN	0.31376120480192327	0.4309714689951522	0.29547093427794296	1.0
IPA_MED13_DN	0.31318858540773953	0.3196375302643188	0.29596748687456514	1.0
IPA_ASF1A_DN	0.31202691323150983	0.40213294493934876	0.29710607881586437	1.0
IPA_HOXA1_UP	0.3109376868409127	0.36980292372066886	0.2981308115630337	1.0
IPA_NFIX_UP	0.3105410898691063	0.3114432074559078	0.2984534126130685	1.0
IPA_PPARD_UP	0.30910627465676016	0.28598746619363113	0.2998386994749826	1.0
IPA_PPARA_UP	0.30554871156855706	0.3079737319719954	0.3034410778670378	1.0
