	Score	MoE	P-Value	Q-Value
FAN_OVARY_CL10_PUTATIVE_EARLY_ATRESIA_GRANULOSA_CELL	0.6061029775700857	0.05697636034741438	0.040320962888666	0.7261780104712041
TRAVAGLINI_LUNG_CD8_MEMORY_EFFECTOR_T_CELL	0.5635502619025767	0.20604179526983665	0.05824139083918422	0.7546610169491526
MENON_FETAL_KIDNEY_1_EMBRYONIC_RED_BLOOD_CELLS	0.36121679706316856	0.06354718461279131	0.21337345369441657	0.9156908665105387
BUSSLINGER_ESOPHAGEAL_EARLY_SUPRABASAL_CELLS	0.30240545244454725	0.1349649929023576	0.27368772985623535	0.9222844344904815
HAY_BONE_MARROW_CD8_T_CELL	0.22075249129528232	0.20052013990036602	0.37900367769976595	0.965973377703827
RUBENSTEIN_SKELETAL_MUSCLE_T_CELLS	0.1662272473325695	0.1960797592069942	0.4364426613172852	0.9827225130890053
ZHENG_CORD_BLOOD_C9_GRANULOCYTE_MACROPHAGE_PROGENITOR	0.11938350768153964	0.1604842110570978	0.4700100300902708	0.9944832402234638
MANNO_MIDBRAIN_NEUROTYPES_BASAL	-0.062298578201009855	0.15604598273964393	0.4974924774322969	0.993639344262295
TRAVAGLINI_LUNG_CD4_NAIVE_T_CELL	-0.10819071342583685	0.1520996590702272	0.48649281176863923	0.993639344262295
LAKE_ADULT_KIDNEY_C30_IMMUNE_CELLS_MACROPHAGES	-0.1387228463092454	0.1874060705585496	0.46820461384152456	0.9912770411723657
FAN_OVARY_CL4_T_LYMPHOCYTE_NK_CELL_1	-0.17579496720092258	0.13990724680954292	0.434704112337011	0.9912770411723657
FAN_OVARY_CL12_T_LYMPHOCYTE_NK_CELL_2	-0.1825889323656182	0.12364755469176321	0.4269809428284855	0.9912770411723657
FAN_OVARY_CL18_B_LYMPHOCYTE	-0.21862242238888155	0.12611944989422888	0.38020728853226343	0.9825904121110176
AIZARANI_LIVER_C28_NK_NKT_CELLS_6	-0.22256448431152664	0.14695062728356245	0.3742895352724841	0.9825904121110176
FAN_EMBRYONIC_CTX_BRAIN_NAIVE_LIKE_T_CELL	-0.23480230309055236	0.11170428419583432	0.3572049481778669	0.9825904121110176
TRAVAGLINI_LUNG_CD8_NAIVE_T_CELL	-0.2663804593075514	0.18710615740657563	0.3117686392510866	0.968486096807415
BUSSLINGER_GASTRIC_IMMUNE_CELLS	-0.2907821887933702	0.15552829165070417	0.27753259779338013	0.9681609195402299
AIZARANI_LIVER_C3_NK_NKT_CELLS_2	-0.3355924056359702	0.20121091576674208	0.2235372785021732	0.9327298050139275
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE	-0.5142166207160077	0.08037629058681048	0.07405549983283183	0.77625
RUBENSTEIN_SKELETAL_MUSCLE_NK_CELLS	-0.5184948683153415	0.18736211823286789	0.07154797726512872	0.77625
TRAVAGLINI_LUNG_CD4_MEMORY_EFFECTOR_T_CELL	-0.5432182721422517	0.05071404992401618	0.05713808090939485	0.7241525423728814
BUSSLINGER_DUODENAL_IMMUNE_CELLS	-0.5511840301431159	0.07183341495471622	0.053493814777666335	0.70929203539823
AIZARANI_LIVER_C1_NK_NKT_CELLS_1	-0.5564588949229439	0.25170394894844206	0.05091942494149114	0.70929203539823
CUI_DEVELOPING_HEART_C9_B_T_CELL	-0.5682566340597428	0.06350511051858393	0.04473420260782347	0.6804020100502512
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_CD4_T_CELLS	-0.5697664380047562	0.04604393334671577	0.044232698094282846	0.6794871794871795
