Gene	S1	S2	S3	S4	S5	S6	S7	S8
A1BG	4.339196830713823	4.953422166641362	4.999548681456073	5.376836396480261	5.005845887664908	4.868805520072023	5.358512449370755	5.683043557257286
A1CF	0.028032428730579224	0.025898828265871966	0.03576451323612217	0.04464297590402506	0.022305595069903893	0.04078332167419976	0.013126922573728718	0.03075318201303705
A2M	1.6937116469327766	1.4770888884537086	1.6509406582444377	1.5786321772523664	2.4574182581395845	0.852156286095611	1.826781130118567	1.4077866094044071
A2ML1	0.129927485609916	0.4053600484953958	0.19401705953144277	0.19895096617015307	0.43736518263173946	0.42415395088775343	0.23934927874999026	0.16524989946923083
A4GALT	0.9721036936871139	1.8125392979173274	1.4461979914830938	1.5518801829481874	0.8676157237975547	1.0595214133524615	0.8427672880311476	1.7251390028318159
AAAS	2.9491804254364076	2.6475268107377588	2.5593089809553846	3.2603037771413996	2.9696878944003138	3.3937769664156603	2.5484326788580556	3.459648006664734
AACS	1.6376476635416997	1.9233975651173822	2.2416053986318154	2.4423223466081168	1.7451210081354311	1.6437606686592918	2.2289433339628935	2.2844536051136264
AADACL3	0.040506304671330595	0.05318030606302795	0.014581963984115359	0.05404812351673501	0.040122320327058376	0.0	0.09380988817153521	0.0503225379030164
AADAT	0.07517610035512161	0.0	0.0	0.23726997288498505	0.2296894408498064	0.04672780094561145	0.0	0.04786162233060951
AAGAB	5.116357145590283	5.105881487242206	5.0701872076158425	5.268635377717616	5.3112835629519815	5.36757899725976	5.293883665086864	5.116120432767955
AAMDC	4.858948917723963	4.90376681106868	5.0221953895702445	4.556622109359551	4.787509575801572	4.582310754119246	4.791900265763178	4.536397675591509
AAMP	5.180489585334422	5.218404545780488	5.327787739373261	4.708037108450386	5.060090067091438	5.282113827341708	4.93173051584083	5.430588836001526
AANAT	0.05578038957829347	0.04259349201739306	0.4632196177359535	0.6933535821927694	0.15986294289191472	0.0	0.19228002991652832	0.1425790101583658
AAR2	2.3947207360192873	2.7579444844431893	2.504009628162526	2.608579812271203	2.4913610854934727	2.7742810394575677	3.0483783203892316	3.447454889329481
AARD	0.447970562096656	0.7237123242556376	0.6517015470975156	1.0359898152379658	0.25239991428964126	0.5898018305296738	0.3457165602453695	0.007165326511767342
AARS1	0.0	0.439298660895722	0.31861417219798477	0.8788516575825039	0.818395762208692	0.9558461820624802	0.6453373655190341	1.0437126566344292
AARS2	0.1869860227054044	0.6418382377192645	0.1924416435991722	0.3368295088267053	0.0	0.31472784412326626	0.457856910413769	0.1722852423988565
AARSD1	3.9175513862265405	4.397144106177218	3.6575710285605254	4.071057278444432	3.3499806131901013	3.6451795381200576	3.4380055616317433	3.3339586339628977
AASDH	3.541979143046646	3.526645048232474	3.337521003463968	3.4670775411988677	3.9983870746744796	2.9158292928515728	3.59494535554025	2.907068574725984
AASDHPPT	4.216559939805902	4.299895218731141	4.49444870111543	3.536046790563019	4.212075282953153	4.500588946672909	4.017213923185735	4.463710007162146
AASS	0.9850725130469415	0.557842022783339	0.19086286234637348	0.7313266348565355	0.4552601395910274	0.5045603463745105	0.22144281554496426	0.2649206981649507
AATF	5.649472446984856	5.462689019479289	5.633464777909762	5.2799196975875855	5.733595321066112	5.147777419289506	5.557979862402973	5.1834110191189575
AATK	0.12480943888649358	0.16356519777333783	0.01308836485672857	0.0	0.0334671000720079	0.4668259698747825	0.0	0.02399578120900843
ABAT	1.5642049371984148	1.728227470950939	1.813197531879675	1.7812803893475158	2.073252844448627	1.6926058723050426	2.126481998825424	1.828757080949922
ABCA1	0.0	0.0	0.0	0.0	0.006986015488951535	0.0	0.07102672087681572	0.0
ABCA10	0.0865540441770734	0.032860156995015294	0.14233082773821296	0.3646336124737399	0.3868972297445343	0.1405710236131427	0.246038199106592	0.15120380657180366
ABCA13	0.06855980657321116	0.10579586189616365	0.11980847154756644	0.09708205313778964	0.1097765572923962	0.08590429640969023	0.07547841356628093	0.10647171725546119
ABCA2	1.4816339985303717	1.7559356507026327	2.1066856013412143	1.4992607069597585	2.0826984683116168	1.0685075452428068	2.07838914808253	1.924434004771506
ABCA3	1.6824708668578867	1.325613796796389	1.5182210353682992	1.1404959776339805	1.2858389564180017	0.889049822498864	2.1855713810251993	1.7288093598897207
ABCA4	0.0	0.043795932690607345	0.0	0.027969460489618226	0.0	0.0	0.0	0.0
ABCA5	3.960148488534505	3.34908342060597	3.2978191228108855	4.057112824044179	3.9197874011154648	3.475605223173906	4.096946262309965	3.68525056151838
ABCA6	0.09205287468301934	0.17139503175046836	0.10072150458138597	0.2567474079887018	0.11477558631000173	0.09963615856997815	0.2565939270243206	0.1139639469579166
ABCA7	3.012088946813623	2.840633023796861	2.5085648020364952	2.3838140367896954	2.6221940607104366	2.7596861451776276	3.6266458887014625	2.6437144524516567
ABCA8	0.20289046566547086	0.1917176499761339	0.2698143847283391	0.23025294721553377	0.13608846424365195	0.07675171523743991	0.26444094875035806	0.4116551062599083
ABCA9	0.3660250409245309	0.754090658001708	0.7189176183289764	1.0737800702958626	0.8166845660440996	0.5884560334902716	0.9251871044657209	1.0869503049399771
ABCB1	0.8616449639738069	1.3225702974708353	0.39946206495386366	1.383663378099206	1.0827037473003085	1.809780319632934	0.4174399522529317	2.146205857549831
ABCB10	0.35922427979493565	0.33806950951593734	0.0	0.8630186373494091	1.071723821707938	1.2476662860612007	1.0518732163355602	2.0068782171601938
ABCB11	0.3747653001992799	0.516815872719952	0.5302920250818063	1.0047636602406658	0.8138149065420615	0.010454605030699147	0.6518084352860454	0.20679598654870618
